year,biome,country_of_production,product_type,forest_500_soy,zero_deforestation_paraguay_soy,department,district_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob,land_use,soy_deforestation_5_year_total_exposure,department_trase_id,country_of_production_trase_id,country_of_destination_trase_id
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""COMPANY COMMITMENT"",""ALTO PARANA"",""PRESIDENTE FRANCO"",""CARGILL AGROPECUARIA SACI"",""CARGILL"",""CHILE"",""CHILE"",""197948.77000000002"",""103973588.62311773"",""66425.76174496645"",""465.1796095000001"",""PY-10"",""PY"",""CL"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""COMPANY COMMITMENT"",""ALTO PARANA"",""PRESIDENTE FRANCO"",""CARGILL AGROPECUARIA SACI"",""CARGILL"",""POLAND"",""EUROPEAN UNION"",""87844.28"",""44283909.9882462"",""29477.946308724833"",""206.434058"",""PY-10"",""PY"",""PL"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""COMPANY COMMITMENT"",""CAAGUAZU"",""PRESIDENTE FRANCO"",""CARGILL AGROPECUARIA SACI"",""CARGILL"",""CHILE"",""CHILE"",""56581.91"",""29719935.770261515"",""19923.247200816884"",""500.7499035"",""PY-05"",""PY"",""CL"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""SAN PEDRO"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""NETHERLANDS"",""EUROPEAN UNION"",""47531.89"",""25115749.241470378"",""18861.906667310734"",""2471.6582799999996"",""PY-02"",""PY"",""NL"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""AMAMBAY"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""NETHERLANDS"",""EUROPEAN UNION"",""45429.83"",""24005018.920584965"",""15940.291228070175"",""917.6825660000002"",""PY-13"",""PY"",""NL"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""CAAZAPA"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""NETHERLANDS"",""EUROPEAN UNION"",""43288.8"",""22873706.371805348"",""16032.88888888889"",""417.73692000000005"",""PY-06"",""PY"",""NL"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""CAAGUAZU"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""NETHERLANDS"",""EUROPEAN UNION"",""40730.81"",""21522068.4032174"",""14341.862908472056"",""360.4676685"",""PY-05"",""PY"",""NL"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""COMPANY COMMITMENT"",""ALTO PARANA"",""ASUNCION"",""CARGILL AGROPECUARIA SACI"",""CARGILL"",""CHILE"",""CHILE"",""37058.99999999999"",""21234934.19109226"",""12435.906040268454"",""87.08864999999999"",""PY-10"",""PY"",""CL"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN OIL"",""3"",""COMPANY COMMITMENT"",""ALTO PARANA"",""PRESIDENTE FRANCO"",""CARGILL AGROPECUARIA SACI"",""CARGILL"",""INDIA"",""INDIA"",""36331.82"",""30643865.578946974"",""12191.885906040268"",""85.379777"",""PY-10"",""PY"",""IN"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""ALTO PARANA"",""CIUDAD DEL ESTE"",""AGRO SILO SANTA CATALINA"",""AGRO SILO SANTA CATALINA"",""BRAZIL"",""BRAZIL"",""33229.42"",""14521303.491312686"",""11150.812080536913"",""78.089137"",""PY-10"",""PY"",""BR"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""ALTO PARANA"",""CIUDAD DEL ESTE"",""AGRO SILO SANTA CATALINA"",""AGRO SILO SANTA CATALINA"",""BRAZIL"",""BRAZIL"",""33229.42"",""14521303.491312686"",""11150.812080536913"",""78.089137"",""PY-10"",""PY"",""BR"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""CAAGUAZU"",""SAN ANTONIO"",""AGRICOLA ENTRE RIOS"",""AGRICOLA ENTRE RIOS"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""33229.42"",""15893814.592012698"",""11700.523170740762"",""294.08036699999997"",""PY-05"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""CANINDEYU"",""SAN ANTONIO"",""AGRICOLA ENTRE RIOS"",""AGRICOLA ENTRE RIOS"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""33229.42"",""15893814.592012698"",""11188.351248564868"",""232.60594"",""PY-14"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""CANINDEYU"",""SAN ANTONIO"",""AGRICOLA ENTRE RIOS"",""AGRICOLA ENTRE RIOS"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""33229.42"",""15893814.592012698"",""11188.351248564868"",""232.60594"",""PY-14"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""SAN PEDRO"",""SAN ANTONIO"",""AGRICOLA ENTRE RIOS"",""AGRICOLA ENTRE RIOS"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""33229.42"",""15893814.592012698"",""13186.309625997803"",""1727.9298399999998"",""PY-02"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",""0"",""NONE"",""CANINDEYU"",""VILLETA"",""LOUIS DREYFUS PARAGUAY"",""LOUIS DREYFUS"",""MEXICO"",""MEXICO"",""33000"",""18245700"",""11111.105496353552"",""231"",""PY-14"",""PY"",""MX"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""ALTO PARANA"",""CIUDAD DEL ESTE"",""UNEXPA S.A."",""UNEXPA"",""BRAZIL"",""BRAZIL"",""32709.34"",""15195557.13129246"",""10976.288590604026"",""76.866949"",""PY-10"",""PY"",""BR"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""CANINDEYU"",""NUEVA ESPERANZA"",""GRUPO APANE"",""GRUPO APANE"",""BRAZIL"",""BRAZIL"",""32029.42"",""14264214.117083333"",""10784.311048697466"",""224.20594"",""PY-14"",""PY"",""BR"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""COMPANY COMMITMENT"",""ALTO PARANA"",""PRESIDENTE FRANCO"",""CARGILL AGROPECUARIA SACI"",""CARGILL"",""DENMARK"",""EUROPEAN UNION"",""30698.729999999996"",""16130880.042725805"",""10301.587248322146"",""72.1420155"",""PY-10"",""PY"",""DK"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""CANINDEYU"",""SALTOS DEL GUAIRA"",""C. VALE SA"",""C. VALE"",""BRAZIL"",""BRAZIL"",""29500"",""12362500"",""9932.654913406963"",""206.5"",""PY-14"",""PY"",""BR"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""NONE"",""AMAMBAY"",""ANTEQUERA"",""FRANCISCO VIERCI Y CIA"",""FRANCISCO VIERCI Y CIA"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""29208.5"",""14136914"",""10248.59649122807"",""590.0117000000001"",""PY-13"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""SAN PEDRO"",""SAN ANTONIO"",""ADM PARAGUAY"",""ADM"",""PERU"",""PERU"",""27496.14"",""13200720.4"",""10911.193019913775"",""1429.79928"",""PY-02"",""PY"",""PE"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""SAN PEDRO"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""JAPAN"",""JAPAN"",""27179.950000000004"",""14730354.567003304"",""10785.720494644174"",""1413.3574"",""PY-02"",""PY"",""JP"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",""3"",""NONE"",""ALTO PARANA"",""SAN ANTONIO"",""ADM PARAGUAY"",""ADM"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""27000.96"",""14128250.229999999"",""9060.724832214764"",""63.452256"",""PY-10"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",""0"",""NONE"",""SAN PEDRO"",""CONCEPCION"",""COFCO AGRI PARAGUAY S.A."",""COFCO"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""26648.1"",""14661838.18225486"",""10574.668397599236"",""1385.7012"",""PY-02"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""ITAPUA"",""ENCARNACION"",""COOPERATIVA COLONIAS UNIDAS"",""COOPERATIVA COLONIAS UNIDAS"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""26597.57"",""12445619.18711395"",""9533.17378694474"",""33.2469625"",""PY-07"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",""0"",""NONE"",""ITAPUA"",""CAPITAN MEZA"",""LOUIS DREYFUS PARAGUAY"",""LOUIS DREYFUS"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""26564.22"",""11713760.56"",""9521.22038872849"",""33.205275"",""PY-07"",""PY"",""RU"""
